2021-01-24 19:45:25 - INFO - Epoch: 8,	 Iter: 100,	 Loss: 0.35012,	 Val-Acc1: 98.13 (Best: 98.28),	 Val-Acc5: 99.89
2021-01-24 19:45:36 - INFO - Epoch: 8,	 Iter: 200,	 Loss: 0.47755,	 Val-Acc1: 98.22 (Best: 98.28),	 Val-Acc5: 99.88
2021-01-24 19:45:46 - INFO - Epoch: 8,	 Iter: 300,	 Loss: 0.35038,	 Val-Acc1: 98.25 (Best: 98.28),	 Val-Acc5: 99.92
2021-01-24 19:45:57 - INFO - Epoch: 8,	 Iter: 400,	 Loss: 0.46011,	 Val-Acc1: 98.16 (Best: 98.28),	 Val-Acc5: 99.88
2021-01-24 19:46:10 - INFO - Epoch: 9,	 Iter: 0,	 Loss: 0.41510,	 Val-Acc1: 98.17 (Best: 98.28),	 Val-Acc5: 99.92
2021-01-24 19:46:21 - INFO - Epoch: 9,	 Iter: 100,	 Loss: 0.35595,	 Val-Acc1: 98.22 (Best: 98.28),	 Val-Acc5: 99.90
2021-01-24 19:46:32 - INFO - Epoch: 9,	 Iter: 200,	 Loss: 0.49566,	 Val-Acc1: 98.26 (Best: 98.28),	 Val-Acc5: 99.90
2021-01-24 19:46:42 - INFO - Epoch: 9,	 Iter: 300,	 Loss: 0.38491,	 Val-Acc1: 98.33 (Best: 98.33),	 Val-Acc5: 99.87
2021-01-24 19:46:53 - INFO - Epoch: 9,	 Iter: 400,	 Loss: 0.37322,	 Val-Acc1: 98.30 (Best: 98.33),	 Val-Acc5: 99.88
2021-01-24 19:47:06 - INFO - Epoch: 10,	 Iter: 0,	 Loss: 0.37462,	 Val-Acc1: 98.25 (Best: 98.33),	 Val-Acc5: 99.87
2021-01-24 19:47:17 - INFO - Epoch: 10,	 Iter: 100,	 Loss: 0.41382,	 Val-Acc1: 98.31 (Best: 98.33),	 Val-Acc5: 99.93
2021-01-24 19:47:28 - INFO - Epoch: 10,	 Iter: 200,	 Loss: 0.34181,	 Val-Acc1: 98.26 (Best: 98.33),	 Val-Acc5: 99.91
2021-01-24 19:47:38 - INFO - Epoch: 10,	 Iter: 300,	 Loss: 0.39141,	 Val-Acc1: 98.27 (Best: 98.33),	 Val-Acc5: 99.90
2021-01-24 19:47:49 - INFO - Epoch: 10,	 Iter: 400,	 Loss: 0.35310,	 Val-Acc1: 98.35 (Best: 98.35),	 Val-Acc5: 99.92
2021-01-24 19:48:03 - INFO - Epoch: 11,	 Iter: 0,	 Loss: 0.38581,	 Val-Acc1: 98.33 (Best: 98.47),	 Val-Acc5: 99.89
2021-01-24 19:48:14 - INFO - Epoch: 11,	 Iter: 100,	 Loss: 0.34201,	 Val-Acc1: 98.44 (Best: 98.47),	 Val-Acc5: 99.90
2021-01-24 19:48:24 - INFO - Epoch: 11,	 Iter: 200,	 Loss: 0.34766,	 Val-Acc1: 98.28 (Best: 98.47),	 Val-Acc5: 99.90
2021-01-24 19:48:35 - INFO - Epoch: 11,	 Iter: 300,	 Loss: 0.35979,	 Val-Acc1: 98.28 (Best: 98.47),	 Val-Acc5: 99.90
